id,restaurant,tag,town,latitude,longitude,address,call,hour,menu,imageURL,thumURL,detail,recommend
1,가마솥생복집,#가마솥 #생복집 #복국,기장군,35.246918,129.21342,기장군 기장읍 차성로327-2,051-722-2995,10:00a.m. ~ 22:00p.m.,"복국(맑은탕), 복튀김",https://www.visitbusan.net/uploadImgs/files/cntnts/20200306144718985_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200306144718985_thumbL,16년째 운영하고 있는 복어요리 전문식당으로 유명인사들이 많이 찾는 식당이기도 하다. 수 많은 복어요리식당 중에서도 손꼽히는 식당으로 국물이 맛있기로 유명하다. 많은 종류의 반찬이 함께 나온다.,0
2,가야할매밀면,#밀면 #만두 #물밀면,연제구,35.185196,129.07988,부산 연제구 월드컵대로 145번길 32,051-865-8017,11:00a.m. ~ 20:30p.m.,"물 밀면, 비빔밀면",https://www.visitbusan.net/uploadImgs/files/cntnts/20191217201857896_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191217201857896_thumbL,"유명한 밀면전문점으로, 밀가루에 옥수수 전분을 섞어, 다른 밀면전문점들보다 더 탄력있는 면이 특징이다. 육수는 돼지뼈와 소뼈에 각종 야채와 여러 한약재를 섞어 만들고, 사이드 메뉴인 만두도 인기 있다.",0
3,개미집신도시점,#낙지볶음 #낙곱새 #전골,해운대구,35.167637,129.17154,해운대구 좌동로 10번길 51-5,051-744-6446,10:00a.m. ~ 22:00p.m.,"낙지볶음, 곱창전골",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913153737388_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913153737388_thumbL,"부산의 대표적인 낙지요리전문점인 개미집의 분점으로, 본점에 뒤쳐지지 않는 맛을 선보이고 있다. 본점과 같이 낙지볶음, 낙지새우볶음, 낙지곱창볶음 등의 요리들이 모두 인기 있으며, 불고기낙지버섯전골과 곱창전골을 찾는 손님도 많다.",0
4,거대갈비,#소고기 #한우 #냉면,해운대구,35.161617,129.16696,부산 해운대구 달맞이길 22,051-746-0037,11:30a.m. ~ 22:00p.m.,"등심(100g), 프리미엄 갈빗살(100g)",https://www.visitbusan.net/uploadImgs/files/cntnts/20191219093030634_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219093030634_thumbL,"최상등급의 고기와 최고의 원재료만을 사용한다는 한우숯불구이전문점으로, 깔끔한 실내와 친절한 점원들이 인상적이다. 최상등급의 한우인만큼 가격도 높은 편이지만, 직원이 고기를 구워주는 등 만족도가 높은 식당이다.",0
5,고가옥,#한식 #집밥 #밥,동래구,35.197247,129.06093,동래구 사직북로 16-5 1층,051-505-3222,am 11:00 ~ pm 20:00,"정식, 곤드레정식",https://www.visitbusan.net/uploadImgs/files/cntnts/20200819153254696_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819153254696_thumbL,"가족들이 함께 운영하고 있는 한식당으로, 주방에서 어머니가 직접 음식을 만들고, 강원도 에서 직접 공수해온 재료들을 써서 건강한 음식을 만드는 것으로 유명한 식당이다. 곤드레 정식이 대표메뉴로, 제철재료들로 만든 반찬이 함께 제공된다.",0
6,고관 함박,#함박스테이크 #돈까스 #쫄면,동구,35.126987,129.04623,동구 중앙대로349번길 14,051-911-8484,am 11:00 ~ pm 21:00,"뚝배기함박스테이크, 옛날돈까스, 고관쫄면",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913102558366_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913102558366_thumbL,"가격과 맛이 모두 기분 좋은 함박스테이크전문점으로 저렴한 가격에 비해 질 좋은 재료들을 사용하고 있다. 모든 음식과 소스는 수제로 만들어 내고 있으며, 무척 독특한 레시피를 선보이고 있는 식당이다.",0
7,고관 해물탕,#해물탕 #볶음밥 #대하새우,동구,35.12642,129.04521,동구 중앙대로349번길 38,051-463-7585,am 11:00 ~ pm 22:30,"해물탕, 대하구이",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913103559860_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913103559860_thumbL,"2대에 걸쳐 30년째 운영하고 있는 유명한 해물탕전문점으로, 매일 새벽 주인이 직접 자갈치시장에서 구매해 오는 26가지 신선한 재료로 해물탕을 만든다. 이곳의 주방장은 26년째 꾸준히 주방을 책임지고 있다.",0
8,고엔,#일식 #사시미 #초밥,사상구,35.16172,128.98625,사상구 광장로 88,051-327-1569,am 11:00 ~ pm 22:00,"코스요리, 일정식, 회정식",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913113059524_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913113059524_thumbL,사상구의 번화가에 위치한 일식전문점으로 매일매일 신선한 횟감을 구입하여 주인이 직접 정성스럽게 요리한다. 해산물을 주로 사용하는 만큼 위생관리도 엄격하게 하고 있는 이곳의 대표메뉴는 눈과 입이 모두 즐거운 코스요리이다.,0
9,고을산채,#산채정식 #소고기전골 #곱창전골,영도구,35.093414,129.0448,부산 영도구 대교로 2번길 7,051-417-4477,am 11:30 ~ pm 21:30,"산채정식, 소고기버섯전골",https://www.visitbusan.net/uploadImgs/files/cntnts/20200818175032095_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818175032095_thumbL,"2006년부터 운영해온 한식당으로, 모든 반찬들을 주인이 직접 만든다. 점심에는 제철반찬이 함께 제공되는 산채정식 비빔밥을 먹으러 오는 사람이 많으며, 저녁에는 소고기버섯전골과 곱창전골이 인기 있다. 저렴한 가격에 푸짐한 식사를 할 수 있는 곳",0
10,고향카츠,#로스카츠정식 #돈까스 #나폴리파스타,수영구,35.150883,129.11392,"수영구 수영로510번길 43, 1층",051-757-1202,am 11:30 ~ pm 20:30,"로스카츠정식, 모듬카츠정식, 카츠산도",https://www.visitbusan.net/uploadImgs/files/cntnts/20210913133727775_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20210913133727775_thumbL,조용한 골목에 있는 소박하고 따뜻한 분위기의 돈카츠전문점으로 육즙이 가득한 두툼한 돈카츠는 저온에서 한번 고온에서 한번 조리하여 바삭하면서도 부드러운 식감을 자랑한다. 나폴리탄 파스타와 돈카츠가 올라간 냉소바도 인기 있다.,0
