id,restaurant,tag0,tag1,tag2
1,가마솥생복집,가마솥,생복집,복국
2,가야할매밀면,밀면,만두,물밀면
3,개미집신도시점,낙지볶음,낙곱새,전골
4,거대갈비,소고기,한우,냉면
5,고가옥,한식,집밥,밥
6,고관 함박,함박스테이크,돈까스,쫄면
7,고관 해물탕,해물탕,볶음밥,대하새우
8,고엔,일식,사시미,초밥
9,고을산채,산채정식,소고기전골,곱창전골
10,고향카츠,로스카츠정식,돈까스,나폴리파스타
11,곤국,곰탕,수육,스지
12,공감식당,숙성,삼겹살,껍데기
13,광명집,아구찜,아구탕,뽈찜
14,광안국밥,돼지국밥,국밥,순대
15,광안리 부산횟집,회,모듬회,해산물
16,국제밀면,물밀면,비빔밀면,육수
17,금강만두,만두,육개장,충무김밥
18,금문,우육탕,짬뽕,코스요리
19,금수복국,복국,복,지리
20,김해식당,아구수육,아구찜,아구탕
21,꽃물 한식당,한식당,꽃물정식,닭찜
22,남촌,덕천동,돼지,고기
23,내당,호텔농심,한정식,불고기
24,논두렁추어탕,추어탕,미꾸라지,몸보신
25,농가의하루,파스타,피자,샐러드
26,다온,우리농산물,약선한정식,코스요리
27,다옴,집밥,차돌박이비빔국수,칼국수
28,다이닝센,파스타,스테이크,레스토랑
29,당감밀면,밀면,만두,칼국수
30,더브릭하우스,화덕피자,와인,레스토랑
31,도날드 즉석 떡볶이,분식,떡볶이,뻥크림
32,돌솟해물뼈찜,돌솥,해물뼈찜,볶음밥
33,동래별장,궁중요리,신선로,떡갈비
34,동백섬횟집,회,활어회,매운탕
35,동원 숯불 갈비,갈비,숯불,돼지갈비
36,동원장수촌,보양식,녹두오리,백숙
37,드마히니,레스토랑,스테이크,옵스
38,디에이블,파스타,피자,스테이크
39,르꽁비브,레스토랑,프렌치,와인
40,만호갈미 샤브샤브,샤브샤브,갈미조개,수육
41,멤버스라운지,호텔라운지,와인,바비큐
42,명지첫집,보쌈,쭈꾸미,족발
43,육면정,구이전문,소고기,구이전문
44,몽실종가돼지국밥,돼지국밥,국밥,수육백반
45,무심정,금정산성,오리백숙,사찰음식
46,문스시,스시,오마카세,코스요리
47,물꽁식당,아구찜,아구수육,아구탕
48,미락정,생선구이,삼겹살,집밥
49,미미참족발,참족발,족발,냉채족발
50,방코,화덕피자,트러플피자,블루치즈피자
51,배가왕,칼국수,김밥,왕만두
52,버거샵,버거,수제버거,치즈버거
53,봉식당,코스요리,퓨전,한식
54,부산명물횟집,회,백반,광어
55,부흥식당,제주,자리돔,갈치
56,북경,중국집,짬뽕,짜장면
57,북경의자전거,수타면,짜장면,탕수육
58,산들바람,해물찜,꽃게찜,시원
59,석화정,석화,굴,굴국밥
60,선인장 식당,선인장,카레,함박스테이크
61,소문난동래파전,동래파전,막걸리,빈대떡
62,소문난주문진막국수,막국수,수육,사직야구장
63,소수인,시메사바소베마키,모찌리도후,주점
64,송화루,탕수육,칠리새우,정식
65,스스키노,카레,스프카레,닭다리스프카레
66,스완양분식,돈까스,함박스테이크,오므라이스
67,슬라이스 오브 라이프,뉴욕스타일,피자,맥주
68,식당 3선,숯불,돼지갈비,밀면
69,식당 토성동,한입,스테이크,덮밥
70,신발원,군만두,고기만두,겉바속촉
71,신흥반점,짬뽕,탕수육,깐풍기
72,심우촌,오리,백숙,정식
73,쌍둥이돼지국밥,돼지국밥,백반,수육
74,양평칼국수,칼국수,비빔칼국수,고기만두
75,얼크니손칼국수,손칼국수,샤브샤브,볶음밥
76,엄용백 돼지국밥,돼지국밥,부산식,밀양식
77,연산낙지해물탕,해물탕,산낙지,해산물
78,영도우,피자,파스타,스테이크
79,영변횟집,세꼬시,모둠회,활어
80,영진돼지국밥,돼지국밥,국밥,수육백반
81,예이제,한식당,한정식,한식
82,옛날 오막집,곱창,대창,특양
83,오륙도 가원,한우,갈비살,건축상
84,옹기마을,보리밥,팥,칼국수
85,용장어요리 전문점,덮밥,민물장어,바다장어
86,원산면옥,평양냉면,함흥냉면,왕만두
87,원조석대추어탕,추어탕,가마솥,가오리찜
88,원조한양족발,시장,족발,냉채족발
89,원조할매복국,복국,복수육,지리
90,이재모피자,피자,임실치즈,스파게티
91,일광대복집,복국,지리,코스요리
92,일광바다,멸치쌈밥,도다리쑥국,생선회
93,재성밀면,밀면,손만두,칼국수
94,정림,한정식,정찬,밥상
95,정약방,국수,만두,만둣국
96,정을 담은 식탁,두루치기,된장찌개,낙지볶음
97,젠스시,스시,오마카세,코스요리
98,참참부자,참치,참치회,코스요리
99,청죽,일식집,초밥,코스요리
100,초밥 잘하는 오빠,초밥,스시,일식
101,초원복국,복국,복수육,은복국
102,최선장,전복,전복죽,회
103,칠백장식당,기사식당,불고기,갈비탕
104,칸웨이,레스토랑,중식,중화요리
105,코모도테이블,브런치,콥샐러드,샌드위치
106,큰집 코다리찜,코다리찜,매콤,황태탕
107,탐복,전복,전복죽,전복밥
108,팔미초밥,초밥,회,코스요리
109,편의방,만두,탕수육,새우볶음밥
110,평산옥,수육,국수,열무국수
111,평안도족발,족발,냉채족발,마늘족발
112,평창 막국수,메밀막국수,비빔막국수,육수
113,풍원장,숯불,돼지갈비,양념
114,한우랑,한우,꽃등심,특수부위
115,한우숯불양곱창,숯불,곱창,특양
116,할매가야밀면,밀면,비빔밀면,만두
117,할매국밥,돼지국밥,수육,따로국밥
118,함경면옥,냉면,함흥냉면,회비빔면
119,함흥보쌈,모듬보쌈,함흥냉면,평양냉면
120,해남식당,김치찌개,묵은지,수육
121,해녀할매집,전복죽,해산물,전복구이
122,호포갈비,갈비,한우,소고기
123,홍익돈까스,돈까스,왕돈까스,해물볶음우동
124,흙시루,오리탕,단호박오리구이,한정식
