id,sight,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10
1,"40계단, 문화관",카페,마카롱,디저트,클래스,커피,카사블랑카,고양이,원데이,까눌레,코코넛
2,APEC나루공원,산책,계곡,강아지,사진,반려견,댕댕,출사,강변,운동,수영
3,B4291,카페,셀로스터스,조인트마켓,건어물,자갈치시장,바다,뷰,데이트,막걸리,스토어
4,F1963,카페,가구,테라로사,사진,국제갤러리,현대모터스튜디오,원목,야외,골목,커피
5,가덕도,카페,등산,낚시,캠핑,커피,구디너프,데이트,브리타니,천성항,바다
6,감천문화마을,사진,카페,데이트,감성,어린왕자,바다,야경,스냅,선물,흰여울
7,광안리,카페,셀카,운동,꽃다발,패션,뷰티,마카롱,셀피,꽃,가을
8,구 백제병원,브라운핸즈,이바구길,이유있는술집,카페,전통주,차이나타운,레어템,창비,독서,사진
9,구포어린이교통공원,어린이,육아,아들,아기,아이,체험,주말,딸,나들이,놀이터
10,국립부산과학관,과학,아이,체험,전시,실험,로봇,육아,아들,아기,주말
11,국립부산국악원,춤,공연,축제,국악,장구,소리,무용단,판소리,전통춤,악당
12,국립수산과학관,육아,아기,아들,아이,주말,나들이,물고기,딸,박물관,아쿠아리움
13,국립일제강제동원역사관,광복절,역사,유엔평화기념관,체험,주말,인형극,박물관,아들,민족,미래
14,국립해양박물관,심연의상상,전시회,아이,주말,아기,데이트,바다,수족관,아들,독도
15,금강공원,케이블카,해양자연사박물관,체험,주말,금정산,등산,산책,딸,가족,운동
16,금정산,등산,봉,산,운동,등린이,범어사,금샘,명산,가을,산행
17,깡깡이 예술마을,예술,흰여울,스냅,감성,걷기,풍경,바다,드로잉,스케치,아이
18,누리바라기전망대,전망대,야경,뷰,천마산,부산항대교,명소,풍경,감성,하늘,출사
19,다대포,바다,노을,스냅,강아지,일몰,촬영,감성,운동,아기,서핑
20,달맞이고개,달맞이길,도자기,체험,청사포,클래스,데이트,원데이,이색,감성,바다
21,달음산,등산,산,운동,등린이,산행,뷰티,명산,주말,하이킹,트레킹
22,대룡마을,마켓움,아트인오리,고양이,명물,커피,피자,가든,풍경,필름,촬영
23,대신공원,산책,계곡,숲,편백나무,육아,아기,운동,힐링,물놀이,등산
24,동래읍성,디저트,산책,온천천,뷰,야경,로스팅,핸드르립,가을,사진,다대진
25,동래향교,전통,동래부동헌,역사,카페,동래시장,은행나무,가을,전통혼례,명륜당,한복
26,렛츠런파크부산경남,영상이벤트,랜선여행,경마,공원,카페,가족,경마장,아기,주말,나들이
27,마린시티,광안리해수욕장,광안대교,해운대해수욕장,동백섬,오륙도,이기대,장산,센텀시티,마천루,스카이라인
28,문화공감 수정,카페,초량온당,정란각,가옥,일본,촬영,다다미,스냅,사진,감성
29,뮤지엄다,수퍼네이처,전시회,데이트,카페,미술관,포토,아이,주말,아들,힐링
30,미포,카페,블루라인,청사포,블루라인파크,해변열차,스카이캡슐,바다,월광주택,송정,달맞이
31,민락수변공원,광안리해수욕장,술집,경성대,광안리해수욕장,카페,광안대교,바다,강아지,부경대,뷰
32,민주공원,카페,사진,벚꽃,공연,겹벚꽃,스냅,체험,야경,다라래,촬영
33,백양산,등산,카페,운동,금정산,산,공원,애진봉,등린이,동의대,커피
34,범어사,카페,빈티지,쿠키,운동,데이트,금정산,등산,소품,가옥,감성
35,벡스코,페어,전시회,도시락,베이비페어,아트페어,행사,일러스트페어,전시,국제,카페
36,보수동책방골목,카페,빈티지,책방,국제시장,소품샵,책,디저트,레트로,사진관,구제
37,"복천박물관, 복천동고분군",동래읍성,만들기,스케치,투구,토기,산책,등잔,사진,북장대,역사
38,봉래산,등산,산,등린이,뷰,운동,산행,야경,블랙야크100대명산,일몰,석양
39,부산근대역사관,박물관,데이트,용두산공원,국제시장,역사,동양척식주식회사,임시수도기념관,미문화원,유산,민주
40,부산도서관,도서관,책,독서,소설,아들,도서,원데이클래스,만들기,육아,데이트
41,부산박물관,박물관,체험,카페,교육,어린이,전시,아이,문화,애버딘칠드런스뮤지엄,공원
42,부산솔로몬로파크,이벤트,퀴즈,아이,초등학생,참여,법,체험,법무부,솔로몬,헌법
43,부산시립미술관,미술관,전시회,전시,미술,이우환공간,오노프,혼자,문화생활,패션위크,패션
44,부산시민공원,꽃집,카페,강아지,가을,애견,플라워,케이크,공원,꽃,산책
45,부산시청자미디어센터,미디어,교육,제작,팟캐스트,영상,라디오,장애인,수업,유튜브,영화
46,부산영화체험박물관,영화,박물관,체험,카페,데이트,트릭아트,육아,펍,트릭아이뮤지엄,용두산공원
47,부산커피박물관,커피,빈티지,박물관,소품,커피잔,그라인더,커피메이커,로스터,카페,부산진문화재단
48,부산해양자연사박물관,박물관,육아,해양,독도,아기,물고기,아이,공원,금강공원,아들
49,부평깡통야시장,깡통시장,야시장,카페,국제시장,실험,스카치에그바베큐,케이크,삼겹살,돼지국밥,먹거리
50,사직야구장,롯데자이언츠,치어리더,야구,찍덕,출사,삼성라이온즈,카페,직관,선수,승리
51,삼광사,롯데백화점,공원,백화점,범어사,통도사,삼정더파크,어린이,연등축제,사진,절
52,삼락생태공원,화보,공원,사진,가을,코스모스,촬영,웨딩화보,힐링,나들이,주말
53,상해거리,차이나타운,만두,중국,사진,신발원,야경,새우,감성,축제,훠궈
54,서면,카페,타투,셀카,셀피,패션,운동,홍대,옷가게,술집,남포동
55,석당박물관,박물관,임시수도정부청사,동아대,피란수도,임시수도기념관,역사,유산,캠퍼스,문화재,유네스코
56,석불사,병풍사,금정산,등산,병풍암,사진,절,부처님오신날,템플스테이,산책,운동
57,성지곡수원지,공원,어린이,운동,육아,등산,산책,카페,아기,걷기,힐링
58,센텀시티,카페,데이트,신세계백화점,꽃집,와인,골프,케이크,셀카,운동,스케이드보드
59,송도용궁구름다리,구름다리,케이블카,해상케이블카,바다,송도해수욕장,육아,아들,스카이파크,가족,데이트
60,송도해수욕장,조개구이,암남공원,카페,바다,뷰,케이블카,데이트,사진,송도오션파크,해수욕장
61,송상현광장,카페,광장,아덴블랑제리,빵집,강아지,베이커리,감성,애견,부산시민공원,식빵
62,송정해수욕장,카페,서핑,바다,해변,브런치,낚시,토스트,뷰,가을,핫도그
63,수영사적공원,공원,산책,비콘그라운드,무형문화재,민속예술,아들,강아지,카페,아기,전통문화
